id,text,sentiment
1,This is fantastic!,Positive
2,"Not bad, not great.",Neutral
3,It's okay.,Neutral
4,Never buying this again.,Negative
5,Average at best.,Neutral
6,I hate this.,Negative
7,Really disappointed.,Negative
8,Absolutely thrilled with this!,Positive
9,Never buying this again.,Negative
10,Terrible experience.,Negative
11,"Not bad, not great.",Neutral
12,Terrible experience.,Negative
13,Terrible experience.,Negative
14,"Well done, great job!",Positive
15,This is fantastic!,Positive
16,Average at best.,Neutral
17,Nothing special.,Neutral
18,Worst thing ever.,Negative
19,Amazing experience!,Positive
20,I love this!,Positive
21,"Well done, great job!",Positive
22,It's just fine.,Neutral
23,"Not bad, not great.",Neutral
24,"Not bad, not great.",Neutral
25,Average at best.,Neutral
26,It's just fine.,Neutral
27,Really disappointed.,Negative
28,Terrible experience.,Negative
29,Really disappointed.,Negative
30,I love this!,Positive
31,Really disappointed.,Negative
32,Really disappointed.,Negative
33,Amazing experience!,Positive
34,Worst thing ever.,Negative
35,I hate this.,Negative
36,I hate this.,Negative
37,Really disappointed.,Negative
38,Average at best.,Neutral
39,This is fantastic!,Positive
40,Nothing special.,Neutral
41,Really disappointed.,Negative
42,I hate this.,Negative
43,Worst thing ever.,Negative
44,Absolutely thrilled with this!,Positive
45,Absolutely thrilled with this!,Positive
46,Really disappointed.,Negative
47,Amazing experience!,Positive
48,This is fantastic!,Positive
49,Nothing special.,Neutral
50,Really disappointed.,Negative
51,Absolutely thrilled with this!,Positive
52,Really disappointed.,Negative
53,Worst thing ever.,Negative
54,Never buying this again.,Negative
55,It's okay.,Neutral
56,Nothing special.,Neutral
57,Worst thing ever.,Negative
58,Amazing experience!,Positive
59,Worst thing ever.,Negative
60,Amazing experience!,Positive
61,Worst thing ever.,Negative
62,Amazing experience!,Positive
63,Absolutely thrilled with this!,Positive
64,It's just fine.,Neutral
65,Absolutely thrilled with this!,Positive
66,It's okay.,Neutral
67,Really disappointed.,Negative
68,"Well done, great job!",Positive
69,Absolutely thrilled with this!,Positive
70,Never buying this again.,Negative
71,It's okay.,Neutral
72,Nothing special.,Neutral
73,Average at best.,Neutral
74,I love this!,Positive
75,Really disappointed.,Negative
76,Never buying this again.,Negative
77,Amazing experience!,Positive
78,It's okay.,Neutral
79,Worst thing ever.,Negative
80,"Well done, great job!",Positive
81,Really disappointed.,Negative
82,Absolutely thrilled with this!,Positive
83,Amazing experience!,Positive
84,I love this!,Positive
85,I love this!,Positive
86,This is fantastic!,Positive
87,It's just fine.,Neutral
88,It's just fine.,Neutral
89,"Well done, great job!",Positive
90,Nothing special.,Neutral
91,Average at best.,Neutral
92,"Well done, great job!",Positive
93,Terrible experience.,Negative
94,Nothing special.,Neutral
95,Really disappointed.,Negative
96,Never buying this again.,Negative
97,Terrible experience.,Negative
98,Really disappointed.,Negative
99,Really disappointed.,Negative
100,"Well done, great job!",Positive
101,I love this!,Positive
102,I love this!,Positive
103,Really disappointed.,Negative
104,Terrible experience.,Negative
105,Never buying this again.,Negative
106,Terrible experience.,Negative
107,"Well done, great job!",Positive
108,Absolutely thrilled with this!,Positive
109,It's okay.,Neutral
110,Amazing experience!,Positive
111,"Not bad, not great.",Neutral
112,Terrible experience.,Negative
113,Nothing special.,Neutral
114,It's okay.,Neutral
115,This is fantastic!,Positive
116,Average at best.,Neutral
117,It's okay.,Neutral
118,Amazing experience!,Positive
119,"Not bad, not great.",Neutral
120,It's just fine.,Neutral
121,I love this!,Positive
122,Really disappointed.,Negative
123,"Well done, great job!",Positive
124,"Not bad, not great.",Neutral
125,I love this!,Positive
126,Never buying this again.,Negative
127,Worst thing ever.,Negative
128,Average at best.,Neutral
129,I love this!,Positive
130,I love this!,Positive
131,This is fantastic!,Positive
132,"Well done, great job!",Positive
133,Terrible experience.,Negative
134,Never buying this again.,Negative
135,This is fantastic!,Positive
136,Amazing experience!,Positive
137,Really disappointed.,Negative
138,Average at best.,Neutral
139,Average at best.,Neutral
140,"Well done, great job!",Positive
141,It's okay.,Neutral
142,Terrible experience.,Negative
143,Worst thing ever.,Negative
144,Terrible experience.,Negative
145,"Well done, great job!",Positive
146,Terrible experience.,Negative
147,It's okay.,Neutral
148,"Well done, great job!",Positive
149,It's okay.,Neutral
150,It's okay.,Neutral
151,It's just fine.,Neutral
152,Worst thing ever.,Negative
153,Nothing special.,Neutral
154,"Well done, great job!",Positive
155,I love this!,Positive
156,I hate this.,Negative
157,"Well done, great job!",Positive
158,I hate this.,Negative
159,"Not bad, not great.",Neutral
160,"Not bad, not great.",Neutral
161,Really disappointed.,Negative
162,Amazing experience!,Positive
163,Amazing experience!,Positive
164,"Well done, great job!",Positive
165,"Well done, great job!",Positive
166,"Not bad, not great.",Neutral
167,Amazing experience!,Positive
168,"Not bad, not great.",Neutral
169,I love this!,Positive
170,This is fantastic!,Positive
171,"Well done, great job!",Positive
172,"Well done, great job!",Positive
173,Nothing special.,Neutral
174,I love this!,Positive
175,This is fantastic!,Positive
176,Average at best.,Neutral
177,Absolutely thrilled with this!,Positive
178,Amazing experience!,Positive
179,This is fantastic!,Positive
180,Never buying this again.,Negative
181,Amazing experience!,Positive
182,Amazing experience!,Positive
183,"Well done, great job!",Positive
184,Amazing experience!,Positive
185,This is fantastic!,Positive
186,Terrible experience.,Negative
187,Amazing experience!,Positive
188,"Well done, great job!",Positive
189,I love this!,Positive
190,This is fantastic!,Positive
191,Never buying this again.,Negative
192,I hate this.,Negative
193,This is fantastic!,Positive
194,Average at best.,Neutral
195,I love this!,Positive
196,Nothing special.,Neutral
197,Average at best.,Neutral
198,Average at best.,Neutral
199,"Well done, great job!",Positive
200,"Well done, great job!",Positive
201,Nothing special.,Neutral
202,Average at best.,Neutral
203,Nothing special.,Neutral
204,"Well done, great job!",Positive
205,Terrible experience.,Negative
206,Really disappointed.,Negative
207,"Not bad, not great.",Neutral
208,This is fantastic!,Positive
209,It's just fine.,Neutral
210,Absolutely thrilled with this!,Positive
211,Terrible experience.,Negative
212,Really disappointed.,Negative
213,I hate this.,Negative
214,Amazing experience!,Positive
215,Absolutely thrilled with this!,Positive
216,Never buying this again.,Negative
217,Amazing experience!,Positive
218,This is fantastic!,Positive
219,Absolutely thrilled with this!,Positive
220,I hate this.,Negative
221,Amazing experience!,Positive
222,Really disappointed.,Negative
223,"Not bad, not great.",Neutral
224,This is fantastic!,Positive
225,I hate this.,Negative
226,This is fantastic!,Positive
227,Never buying this again.,Negative
228,"Not bad, not great.",Neutral
229,I love this!,Positive
230,I hate this.,Negative
231,I love this!,Positive
232,"Well done, great job!",Positive
233,"Not bad, not great.",Neutral
234,Worst thing ever.,Negative
235,Never buying this again.,Negative
236,Never buying this again.,Negative
237,"Well done, great job!",Positive
238,Average at best.,Neutral
239,I love this!,Positive
240,"Well done, great job!",Positive
241,It's just fine.,Neutral
242,"Not bad, not great.",Neutral
243,I love this!,Positive
244,Really disappointed.,Negative
245,"Not bad, not great.",Neutral
246,Average at best.,Neutral
247,Really disappointed.,Negative
248,This is fantastic!,Positive
249,Worst thing ever.,Negative
250,This is fantastic!,Positive
251,I hate this.,Negative
252,I hate this.,Negative
253,Terrible experience.,Negative
254,Really disappointed.,Negative
255,Worst thing ever.,Negative
256,Amazing experience!,Positive
257,Worst thing ever.,Negative
258,"Well done, great job!",Positive
259,Nothing special.,Neutral
260,Average at best.,Neutral
261,Amazing experience!,Positive
262,Nothing special.,Neutral
263,I love this!,Positive
264,It's just fine.,Neutral
265,Nothing special.,Neutral
266,Worst thing ever.,Negative
267,Average at best.,Neutral
268,I love this!,Positive
269,"Not bad, not great.",Neutral
270,"Not bad, not great.",Neutral
271,Absolutely thrilled with this!,Positive
272,Never buying this again.,Negative
273,"Not bad, not great.",Neutral
274,"Well done, great job!",Positive
275,Amazing experience!,Positive
276,"Not bad, not great.",Neutral
277,It's just fine.,Neutral
278,Terrible experience.,Negative
279,"Well done, great job!",Positive
280,Nothing special.,Neutral
281,"Well done, great job!",Positive
282,Nothing special.,Neutral
283,It's just fine.,Neutral
284,Really disappointed.,Negative
285,Average at best.,Neutral
286,I love this!,Positive
287,It's just fine.,Neutral
288,This is fantastic!,Positive
289,Average at best.,Neutral
290,It's okay.,Neutral
291,Absolutely thrilled with this!,Positive
292,Worst thing ever.,Negative
293,Worst thing ever.,Negative
294,I hate this.,Negative
295,This is fantastic!,Positive
296,Really disappointed.,Negative
297,I hate this.,Negative
298,This is fantastic!,Positive
299,"Not bad, not great.",Neutral
300,It's just fine.,Neutral
301,Terrible experience.,Negative
302,It's okay.,Neutral
303,Never buying this again.,Negative
304,It's just fine.,Neutral
305,It's okay.,Neutral
306,This is fantastic!,Positive
307,"Not bad, not great.",Neutral
308,Average at best.,Neutral
309,Never buying this again.,Negative
310,It's just fine.,Neutral
311,Worst thing ever.,Negative
312,Worst thing ever.,Negative
313,It's just fine.,Neutral
314,It's just fine.,Neutral
315,Never buying this again.,Negative
316,Worst thing ever.,Negative
317,"Not bad, not great.",Neutral
318,It's just fine.,Neutral
319,Nothing special.,Neutral
320,"Not bad, not great.",Neutral
321,Average at best.,Neutral
322,Absolutely thrilled with this!,Positive
323,It's just fine.,Neutral
324,This is fantastic!,Positive
325,Average at best.,Neutral
326,It's just fine.,Neutral
327,Never buying this again.,Negative
328,I love this!,Positive
329,Average at best.,Neutral
330,"Well done, great job!",Positive
331,Never buying this again.,Negative
332,I love this!,Positive
333,It's just fine.,Neutral
334,Amazing experience!,Positive
335,Worst thing ever.,Negative
336,It's just fine.,Neutral
337,"Not bad, not great.",Neutral
338,It's just fine.,Neutral
339,I hate this.,Negative
340,"Not bad, not great.",Neutral
341,This is fantastic!,Positive
342,"Not bad, not great.",Neutral
343,Never buying this again.,Negative
344,"Well done, great job!",Positive
345,Amazing experience!,Positive
346,Terrible experience.,Negative
347,Nothing special.,Neutral
348,Never buying this again.,Negative
349,It's okay.,Neutral
350,Really disappointed.,Negative
351,"Not bad, not great.",Neutral
352,Amazing experience!,Positive
353,It's okay.,Neutral
354,This is fantastic!,Positive
355,"Well done, great job!",Positive
356,I hate this.,Negative
357,"Not bad, not great.",Neutral
358,I love this!,Positive
359,I love this!,Positive
360,It's okay.,Neutral
361,"Not bad, not great.",Neutral
362,Amazing experience!,Positive
363,Terrible experience.,Negative
364,Never buying this again.,Negative
365,Never buying this again.,Negative
366,This is fantastic!,Positive
367,I hate this.,Negative
368,Never buying this again.,Negative
369,"Well done, great job!",Positive
370,Worst thing ever.,Negative
371,It's just fine.,Neutral
372,I hate this.,Negative
373,It's just fine.,Neutral
374,I hate this.,Negative
375,Terrible experience.,Negative
376,Absolutely thrilled with this!,Positive
377,"Not bad, not great.",Neutral
378,Terrible experience.,Negative
379,I love this!,Positive
380,"Well done, great job!",Positive
381,Nothing special.,Neutral
382,I love this!,Positive
383,Amazing experience!,Positive
384,Worst thing ever.,Negative
385,Terrible experience.,Negative
386,"Well done, great job!",Positive
387,Really disappointed.,Negative
388,Worst thing ever.,Negative
389,It's okay.,Neutral
390,Really disappointed.,Negative
391,This is fantastic!,Positive
392,Amazing experience!,Positive
393,Nothing special.,Neutral
394,Terrible experience.,Negative
395,It's just fine.,Neutral
396,Really disappointed.,Negative
397,Terrible experience.,Negative
398,This is fantastic!,Positive
399,It's just fine.,Neutral
400,It's okay.,Neutral
401,This is fantastic!,Positive
402,I hate this.,Negative
403,I hate this.,Negative
404,I hate this.,Negative
405,Nothing special.,Neutral
406,This is fantastic!,Positive
407,Average at best.,Neutral
408,"Not bad, not great.",Neutral
409,Terrible experience.,Negative
410,Worst thing ever.,Negative
411,I hate this.,Negative
412,This is fantastic!,Positive
413,Absolutely thrilled with this!,Positive
414,Amazing experience!,Positive
415,Nothing special.,Neutral
416,I love this!,Positive
417,Worst thing ever.,Negative
418,Never buying this again.,Negative
419,Average at best.,Neutral
420,Really disappointed.,Negative
421,I love this!,Positive
422,It's just fine.,Neutral
423,Terrible experience.,Negative
424,Absolutely thrilled with this!,Positive
425,Amazing experience!,Positive
426,I love this!,Positive
427,"Not bad, not great.",Neutral
428,Amazing experience!,Positive
429,Absolutely thrilled with this!,Positive
430,It's okay.,Neutral
431,Never buying this again.,Negative
432,It's just fine.,Neutral
433,It's just fine.,Neutral
434,This is fantastic!,Positive
435,Worst thing ever.,Negative
436,Never buying this again.,Negative
437,It's okay.,Neutral
438,Amazing experience!,Positive
439,It's okay.,Neutral
440,Nothing special.,Neutral
441,It's okay.,Neutral
442,Terrible experience.,Negative
443,It's just fine.,Neutral
444,Worst thing ever.,Negative
445,It's just fine.,Neutral
446,It's just fine.,Neutral
447,Nothing special.,Neutral
448,Never buying this again.,Negative
449,Average at best.,Neutral
450,I love this!,Positive
451,Absolutely thrilled with this!,Positive
452,Nothing special.,Neutral
453,It's okay.,Neutral
454,It's okay.,Neutral
455,It's okay.,Neutral
456,Amazing experience!,Positive
457,This is fantastic!,Positive
458,Never buying this again.,Negative
459,"Not bad, not great.",Neutral
460,"Not bad, not great.",Neutral
461,Terrible experience.,Negative
462,It's just fine.,Neutral
463,Average at best.,Neutral
464,Terrible experience.,Negative
465,Absolutely thrilled with this!,Positive
466,Amazing experience!,Positive
467,I love this!,Positive
468,I hate this.,Negative
469,Terrible experience.,Negative
470,Terrible experience.,Negative
471,Really disappointed.,Negative
472,"Not bad, not great.",Neutral
473,"Not bad, not great.",Neutral
474,Average at best.,Neutral
475,"Not bad, not great.",Neutral
476,It's just fine.,Neutral
477,Worst thing ever.,Negative
478,Average at best.,Neutral
479,"Well done, great job!",Positive
480,Absolutely thrilled with this!,Positive
481,This is fantastic!,Positive
482,Really disappointed.,Negative
483,Really disappointed.,Negative
484,Really disappointed.,Negative
485,Really disappointed.,Negative
486,Really disappointed.,Negative
487,Nothing special.,Neutral
488,Never buying this again.,Negative
489,Really disappointed.,Negative
490,It's okay.,Neutral
491,Never buying this again.,Negative
492,"Not bad, not great.",Neutral
493,Amazing experience!,Positive
494,"Not bad, not great.",Neutral
495,"Well done, great job!",Positive
496,Nothing special.,Neutral
497,It's just fine.,Neutral
498,"Not bad, not great.",Neutral
499,Amazing experience!,Positive
500,"Well done, great job!",Positive
501,Worst thing ever.,Negative
502,Average at best.,Neutral
503,Average at best.,Neutral
504,Amazing experience!,Positive
505,Amazing experience!,Positive
506,Terrible experience.,Negative
507,"Well done, great job!",Positive
508,I hate this.,Negative
509,This is fantastic!,Positive
510,Terrible experience.,Negative
511,Average at best.,Neutral
512,I love this!,Positive
513,"Well done, great job!",Positive
514,It's just fine.,Neutral
515,Never buying this again.,Negative
516,Worst thing ever.,Negative
517,It's just fine.,Neutral
518,Worst thing ever.,Negative
519,Nothing special.,Neutral
520,I hate this.,Negative
521,Absolutely thrilled with this!,Positive
522,"Well done, great job!",Positive
523,Really disappointed.,Negative
524,It's just fine.,Neutral
525,I hate this.,Negative
526,Amazing experience!,Positive
527,Nothing special.,Neutral
528,Amazing experience!,Positive
529,"Not bad, not great.",Neutral
530,It's okay.,Neutral
531,It's just fine.,Neutral
532,Absolutely thrilled with this!,Positive
533,I hate this.,Negative
534,Never buying this again.,Negative
535,Amazing experience!,Positive
536,I love this!,Positive
537,Worst thing ever.,Negative
538,Amazing experience!,Positive
539,Terrible experience.,Negative
540,Never buying this again.,Negative
541,Nothing special.,Neutral
542,Average at best.,Neutral
543,"Well done, great job!",Positive
544,Terrible experience.,Negative
545,Worst thing ever.,Negative
546,I love this!,Positive
547,It's okay.,Neutral
548,Worst thing ever.,Negative
549,It's okay.,Neutral
550,It's just fine.,Neutral
551,I love this!,Positive
552,"Not bad, not great.",Neutral
553,It's okay.,Neutral
554,Terrible experience.,Negative
555,Amazing experience!,Positive
556,This is fantastic!,Positive
557,Amazing experience!,Positive
558,It's okay.,Neutral
559,I love this!,Positive
560,This is fantastic!,Positive
561,I love this!,Positive
562,Nothing special.,Neutral
563,"Not bad, not great.",Neutral
564,It's just fine.,Neutral
565,It's okay.,Neutral
566,Really disappointed.,Negative
567,Really disappointed.,Negative
568,I hate this.,Negative
569,Amazing experience!,Positive
570,I love this!,Positive
571,Terrible experience.,Negative
572,"Not bad, not great.",Neutral
573,This is fantastic!,Positive
574,Amazing experience!,Positive
575,Nothing special.,Neutral
576,Average at best.,Neutral
577,It's okay.,Neutral
578,"Not bad, not great.",Neutral
579,I hate this.,Negative
580,Average at best.,Neutral
581,Absolutely thrilled with this!,Positive
582,It's just fine.,Neutral
583,This is fantastic!,Positive
584,Nothing special.,Neutral
585,Average at best.,Neutral
586,"Well done, great job!",Positive
587,It's just fine.,Neutral
588,Nothing special.,Neutral
589,"Not bad, not great.",Neutral
590,Absolutely thrilled with this!,Positive
591,Nothing special.,Neutral
592,Never buying this again.,Negative
593,It's okay.,Neutral
594,"Not bad, not great.",Neutral
595,Never buying this again.,Negative
596,I hate this.,Negative
597,Terrible experience.,Negative
598,This is fantastic!,Positive
599,I hate this.,Negative
600,Worst thing ever.,Negative
601,Terrible experience.,Negative
602,This is fantastic!,Positive
603,Amazing experience!,Positive
604,I love this!,Positive
605,Terrible experience.,Negative
606,Never buying this again.,Negative
607,Nothing special.,Neutral
608,Never buying this again.,Negative
609,Terrible experience.,Negative
610,Terrible experience.,Negative
611,Terrible experience.,Negative
612,This is fantastic!,Positive
613,Never buying this again.,Negative
614,"Well done, great job!",Positive
615,It's okay.,Neutral
616,I love this!,Positive
617,I hate this.,Negative
618,It's okay.,Neutral
619,This is fantastic!,Positive
620,I hate this.,Negative
621,Worst thing ever.,Negative
622,This is fantastic!,Positive
623,Average at best.,Neutral
624,Never buying this again.,Negative
625,I love this!,Positive
626,I love this!,Positive
627,Amazing experience!,Positive
628,This is fantastic!,Positive
629,I love this!,Positive
630,Worst thing ever.,Negative
631,It's just fine.,Neutral
632,Average at best.,Neutral
633,This is fantastic!,Positive
634,"Not bad, not great.",Neutral
635,Nothing special.,Neutral
636,This is fantastic!,Positive
637,Terrible experience.,Negative
638,Amazing experience!,Positive
639,I hate this.,Negative
640,"Well done, great job!",Positive
641,This is fantastic!,Positive
642,Nothing special.,Neutral
643,Nothing special.,Neutral
644,Terrible experience.,Negative
645,It's just fine.,Neutral
646,It's just fine.,Neutral
647,Nothing special.,Neutral
648,Amazing experience!,Positive
649,Average at best.,Neutral
650,I love this!,Positive
651,This is fantastic!,Positive
652,Average at best.,Neutral
653,Average at best.,Neutral
654,Never buying this again.,Negative
655,Really disappointed.,Negative
656,Worst thing ever.,Negative
657,It's just fine.,Neutral
658,Terrible experience.,Negative
659,It's okay.,Neutral
660,Amazing experience!,Positive
661,Amazing experience!,Positive
662,It's okay.,Neutral
663,I love this!,Positive
664,Never buying this again.,Negative
665,Absolutely thrilled with this!,Positive
666,I love this!,Positive
667,Absolutely thrilled with this!,Positive
668,Absolutely thrilled with this!,Positive
669,It's just fine.,Neutral
670,It's okay.,Neutral
671,Amazing experience!,Positive
672,"Not bad, not great.",Neutral
673,Worst thing ever.,Negative
674,I hate this.,Negative
675,Average at best.,Neutral
676,Never buying this again.,Negative
677,Terrible experience.,Negative
678,This is fantastic!,Positive
679,Worst thing ever.,Negative
680,Terrible experience.,Negative
681,Really disappointed.,Negative
